0.46	0.73	0.59	1.55	0.84	0.58	0.57	0.49	0.31	0.40	0.65	0.60	0.57	0.52	0.65	0.39	0.29	1.74	2.00	0.65	0.53	0.48	0.52	0.57	0.39	1.07	0.83	0.87	0.66	0.87	0.79	0.62	0.41	0.61	0.88
0.40	0.28	0.45	0.51	0.58	0.57	0.50	0.45	0.19	0.77	0.68	0.80	0.85	0.95	0.44	0.63	0.40	0.20	1.98	1.09	1.08	0.70	0.44	0.80	0.58	0.92	0.78	0.86	0.74	0.74	0.75	0.83	0.71	1.09	0.78
0.41	0.42	0.25	0.57	0.41	0.41	0.76	0.59	0.33	0.36	0.30	0.74	0.46	0.82	0.83	0.47	0.41	0.29	0.52	1.15	1.04	1.32	0.96	0.68	0.79	1.45	0.66	1.21	0.73	0.87	0.67	0.86	0.94	0.87	1.35
0.42	0.34	0.44	0.47	0.39	0.45	0.49	0.54	0.64	0.30	0.35	0.58	0.39	0.60	0.41	0.45	0.37	0.25	0.48	0.52	0.63	1.08	1.28	0.72	0.88	1.37	0.89	0.89	0.90	1.00	0.89	1.04	0.92	0.89	0.81
0.44	0.39	0.37	0.34	0.51	0.58	0.91	2.58	2.16	0.86	0.66	0.52	0.54	0.24	0.87	0.42	0.54	0.48	0.51	0.51	0.30	0.71	0.83	0.75	0.81	0.79	1.06	0.75	0.75	0.85	0.81	0.77	0.80	0.78	0.85
0.47	0.60	0.67	0.55	0.40	0.64	0.79	1.28	1.86	0.70	0.38	0.50	0.44	0.51	0.47	0.26	0.32	0.56	0.23	0.38	0.23	0.08	0.53	0.79	0.68	0.71	0.51	0.88	0.86	0.92	1.00	0.90	1.02	0.97	0.85
0.58	0.58	0.78	0.58	0.62	0.41	0.36	0.49	0.37	0.36	0.12	0.29	0.69	0.73	0.51	0.39	0.32	0.33	0.41	0.26	0.47	0.50	0.54	0.12	0.24	0.68	0.49	0.35	0.33	0.54	1.35	2.13	0.92	0.94	0.74
0.60	0.66	0.65	0.40	0.31	0.53	0.62	0.72	0.61	0.64	0.47	0.31	0.72	0.53	0.47	0.45	0.63	0.74	0.53	0.48	0.43	0.63	0.79	0.74	0.34	0.58	0.85	0.86	0.49	0.31	0.63	1.09	1.56	0.54	0.27
0.58	0.64	0.54	0.66	0.77	0.65	0.38	0.45	1.34	0.33	0.69	0.37	0.51	0.64	0.41	0.60	0.73	0.57	0.47	0.43	0.39	0.19	0.87	0.58	0.42	0.61	1.00	1.02	1.07	1.10	0.75	0.47	0.47	0.47	0.62
0.34	0.74	0.47	0.87	0.84	0.73	0.48	0.55	0.41	0.67	0.68	0.47	0.46	2.02	0.93	0.44	0.39	0.49	0.60	0.31	0.27	0.18	0.95	0.80	0.49	0.58	1.00	0.73	0.81	1.09	1.04	1.29	1.20	0.45	0.66
